benchmark	variant	expected	got	status
traffic/g_traffic_light	clean.xml	true	true	OK
traffic/g_traffic_light	bomb.xml	false	false	OK
hvac/g_hvac_fan_delay	clean.xml	true	true	OK
hvac/g_hvac_fan_delay	bomb.xml	false	false	OK
elevator/g_elevator_door	clean.xml	true	true	OK
elevator/g_elevator_door	bomb.xml	false	false	OK
power_substation/g_busbar_interlock	clean.xml	true	true	OK
power_substation/g_busbar_interlock	bomb.xml	false	false	OK
motor_control/g_motor_interlock	clean.xml	true	true	OK
motor_control/g_motor_interlock	bomb.xml	false	false	OK
water_treatment/g_tank_valves	legit	true	true	OK
water_treatment/g_tank_valves	malic	false	false	OK
water_treatment/g_tank_start_eq	legit	true	true	OK
water_treatment/g_tank_start_eq	malic	false	false	OK
water_treatment/g_tank_start_le	legit	true	true	OK
water_treatment/g_tank_start_le	malic	false	false	OK
water_treatment/g_tank_stop_ge	legit	true	true	OK
water_treatment/g_tank_stop_ge	malic	false	false	OK
water_treatment/g_tank_sub_function	legit	true	true	OK
water_treatment/g_tank_sub_function	malic	false	false	OK
water_treatment/g_tank_substitution_coil	legit	true	true	OK
water_treatment/g_tank_substitution_coil	malic	false	false	OK
water_treatment/g_tank_value_filtering	legit	true	true	OK
water_treatment/g_tank_value_filtering	malic	false	false	OK
water_treatment/g_tank_assignment	legit	true	true	OK
water_treatment/g_tank_assignment	malic	false	false	OK
