benchmark	variant	tool	expected	got	status
g_traffic_light	clean	nuxmv	SAFE	SAFE	OK
g_traffic_light	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_hvac_fan_delay	clean	nuxmv	SAFE	SAFE	OK
g_hvac_fan_delay	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_elevator_door	clean	nuxmv	SAFE	SAFE	OK
g_elevator_door	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_packaging_filler	clean	nuxmv	SAFE	SAFE	OK
g_packaging_filler	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_building_lighting	clean	nuxmv	SAFE	SAFE	OK
g_building_lighting	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_substation_breaker	clean	nuxmv	SAFE	SAFE	OK
g_substation_breaker	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_batch_reactor	clean	nuxmv	SAFE	SAFE	OK
g_batch_reactor	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_batch_mixer	clean	nuxmv	SAFE	SAFE	OK
g_batch_mixer	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_busbar_interlock	clean	nuxmv	SAFE	SAFE	OK
g_busbar_interlock	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_transformer_protect	clean	nuxmv	SAFE	SAFE	OK
g_transformer_protect	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_conveyor_interlock	clean	nuxmv	SAFE	SAFE	OK
g_conveyor_interlock	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_motor_interlock	clean	nuxmv	SAFE	SAFE	OK
g_motor_interlock	bomb	nuxmv	VIOLATION	VIOLATION	OK
g_seal_in	program	nuxmv	SAFE	SAFE	OK
g_rtrig_edge	program	nuxmv	SAFE	SAFE	OK_resolves_esbmc_unknown
g_ftrig_edge	program	nuxmv	SAFE	SAFE	OK_resolves_esbmc_unknown
